ARTH	62.2	22f	Mod-Contemporary Korean Art	2A	Sunglim Kim	NW	ART	ASCL 62.08 01	N/A	N/A
ARTH	62.3	22s	Japanese Prints	10	Allen Hockley	NW	ART	ASCL 62.12 01	N/A	N/A
ARTH	62.81	23w	Women, Gender & Art	2A	Sunglim Kim	NW	ART	ASCL 62.13 01	N/A	N/A
ARTH	63.01	22f	Mexican Muralism	12	Mary Coffey	CI	ART	LACS 048 01	N/A	N/A
ARTH	63.02	23w	Why Are Museums¿?	10A	Mary Coffey	N/A	ART	N/A	N/A	N/A
ARTH	63.23	22s	Global Contemporary Art	2A	Chad Elias	CI	ART	N/A	N/A	N/A
ARTH	89.03	22f	Snr Seminar Theory & Method	10A	Mary Coffey	N/A	ART	N/A	N/A	N/A
ARTH	91	22f	Honors	ARR	Katherine Hornstein	N/A	N/A	N/A	N/A	N/A
ARTH	91	23w	Honors	ARR	Katherine Hornstein	N/A	N/A	N/A	N/A	N/A
ARTH	92	22s	Honors II	ARR	Ada Cohen	N/A	N/A	N/A	N/A	N/A
ARTH	92	23w	Honors II	ARR	Katherine Hornstein	N/A	N/A	N/A	N/A	N/A
ASCL	1.01	22f	Urban Asia	2A	Sujin Eom	NW	INT or SOC	N/A	N/A	N/A
ASCL	7.03	23w	Asian American Art & Arch	10A	Sujin Eom	N/A	N/A	N/A	N/A	N/A
ASCL	10.01	22s	Intro to Chinese Culture (Remote)	11	Levi Gibbs, Qiong Xie	CI	LIT	N/A	N/A	N/A
ASCL	10.02	22f	Intro to Korean Culture	10A	Sunglim Kim, Soyoung Suh	CI	SOC	HIST 05.04 01	N/A	NR Eligible
ASCL	10.03	22s	Intro Japanese Culture	11	Sachi Schmidt-Hori	CI	LIT	N/A	N/A	NR Eligible
ASCL	51.03	23w	Indian Buddhism	10	Reiko Ohnuma	NW	TMV	REL 018 01	N/A	NR Eligible
ASCL	51.04	22f	Tibetan Buddhism	10	Gregory Seton	NW	TMV	REL 41.05 01	N/A	N/A
ASCL	51.05	23w	Religions of Southeast Asia	12	Sara Swenson	NW	TMV	REL 02.01 01	N/A	NR Eligible
ASCL	51.06	22s	Buddhism Sex Gender SE Asia	10A	Sara Swenson	NW	TMV	REL 41.07 01	N/A	N/A
ASCL	51.07	23w	Gods, Demons & Monkeys	2	Reiko Ohnuma	NW	TMV	REL 40.01 01	N/A	N/A
ASCL	52.02	23w	Arts of Tibet	2	Xiaotian Yin	NW	ART	ARTH 34.01 01	N/A	N/A
ASCL	54.07	23w	Colnlsm,Dvlpmt&Env-Afr&Asia	11	Douglas Haynes	NW	INT or SOC	AAAS 050 01, ENVS 045 01, HIST 075 01	N/A	NR Eligible
ASCL	54.08	22s	ColIndia to Post Ind SoAsia	11	Elizabeth Lhost	NW	INT or SOC	HIST 076 01	N/A	NR Eligible
ASCL	54.11	23w	Gandhi, 20thC India&World	2	Sarah Carson	NW	INT or SOC	HIST 05.11 01	N/A	NR Eligible
ASCL	54.12	22f	Early Mod India, 1500-1800	2	Tiraana Bains	NW	SOC	HIST 90.15 01	N/A	NR Eligible
ASCL	59.04	22f	Foreign Study in Vietnam	ARR	Edward Miller	NW	SOC	N/A	N/A	N/A
ASCL	60.05	22f	Love&Desire-Mod Chinese Lit	2A	Levi Gibbs	NW	LIT	N/A	N/A	N/A
ASCL	60.2	22s	Lang of Gender,Class,Nation	10	Sachi Schmidt-Hori	NW	INT or TMV	N/A	N/A	N/A
ASCL	60.26	23w	Japan Thru Graphic Novels	12	Sachi Schmidt-Hori	NW	LIT	N/A	N/A	N/A
ASCL	60.3	22x	Modern Korean Lit Global	3A	Qiong Xie	NW	INT or LIT	N/A	N/A	N/A
ASCL	61.01	23w	The Religions of China	2	Gil Raz	NW	TMV	REL 010 01	N/A	NR Eligible
